"","file","Date","Well","design_bact","design_phg","max_percap","auc"
"68","Rep2","11/3/2021","C7","7xEGD","+Phg",0.306429548563612,57807.8326
"69","Rep2","11/3/2021","C8","125ALE","-Phg",0.304573505758342,50232.4377
"70","Rep2","11/3/2021","C9","125ALE","-Phg",0.332880154904627,51045.4089
"71","Rep2","11/3/2021","D10","7xALA","-Phg",0.438973552808413,60342.0569
"72","Rep2","11/3/2021","D11","7xALA","-Phg",0.493969908085007,61433.3104
"73","Rep2","11/3/2021","D2","7xEGC","+Phg",0.286275530731546,47770.6666
"74","Rep2","11/3/2021","D3","7xEGC","+Phg",0.369158878504674,46945.3631
"75","Rep2","11/3/2021","D4","7xEGC","+Phg",0.31021432362937,48842.5677
"76","Rep2","11/3/2021","D5","7xALA","+Phg",0.411843876177658,37378.6457
"77","Rep2","11/3/2021","D6","7xALA","+Phg",0.425392786447134,47088.6568
"78","Rep2","11/3/2021","D7","7xALA","+Phg",0.415935178933153,36571.615
"79","Rep2","11/3/2021","D8","7xEGC","-Phg",0.355555555555555,48003.6754
"80","Rep2","11/3/2021","D9","7xEGC","-Phg",0.329738058551619,49575.6183
"81","Rep2","11/3/2021","E10","125CGA","-Phg",0.444289285071255,68255.3974
"82","Rep2","11/3/2021","E11","125CGA","-Phg",0.531926185900729,70135.6811
"83","Rep2","11/3/2021","E2","7xACD","+Phg",0.397863818424566,36182.0051
"84","Rep2","11/3/2021","E3","7xACD","+Phg",0.363512108588337,41931.835
"85","Rep2","11/3/2021","E4","7xACD","+Phg",0.363636363636364,41355.8329
"86","Rep2","11/3/2021","E5","125CGA","+Phg",0.397987702627166,68414.606
"87","Rep2","11/3/2021","E6","125CGA","+Phg",0.441156691324816,66047.2478
"88","Rep2","11/3/2021","E7","125CGA","+Phg",0.446536650975119,65374.5874
"89","Rep2","11/3/2021","E8","7xACD","-Phg",0.420618556701032,57497.1579
"90","Rep2","11/3/2021","E9","7xACD","-Phg",0.438356164383562,57872.9967
"91","Rep2","11/3/2021","F2","125ALA","+Phg",0.367074527252502,33422.7816
"92","Rep2","11/3/2021","F3","125ALA","+Phg",0.388835418671799,35120.8129
"93","Rep2","11/3/2021","F4","125ALA","+Phg",0.379058979456594,51151.5233
"94","Rep2","11/3/2021","F8","125ALA","-Phg",0.429850746268657,56021.604
"95","Rep2","11/3/2021","F9","125ALA","-Phg",0.402255639097744,56489.2442
"96","Rep2","11/3/2021","G2","125CGE","+Phg",0.489439184268027,35086.8846
"97","Rep2","11/3/2021","G3","125CGE","+Phg",0.459250446162999,35277.5047
"98","Rep2","11/3/2021","G4","125CGE","+Phg",0.49528936742934,35215.4956
"99","Rep2","11/3/2021","G8","125CGE","-Phg",0.567796610169491,67073.8792
"100","Rep2","11/3/2021","G9","125CGE","-Phg",0.455757575757576,67479.4128
