"","1","2","3","4","5","6","7","8","9","10","11","12"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,"+Phg","+Phg","+Phg","+Phg","+Phg","+Phg","-Phg","-Phg","-Phg","-Phg",NA
"C",NA,"+Phg","+Phg","+Phg","+Phg","+Phg","+Phg","-Phg","-Phg","-Phg","-Phg",NA
"D",NA,"+Phg","+Phg","+Phg","+Phg","+Phg","+Phg","-Phg","-Phg","-Phg","-Phg",NA
"E",NA,"+Phg","+Phg","+Phg","+Phg","+Phg","+Phg","-Phg","-Phg","-Phg","-Phg",NA
"F",NA,"+Phg","+Phg","+Phg","+Phg","+Phg","+Phg","-Phg","-Phg","-Phg","-Phg",NA
"G",NA,"+Phg","+Phg","+Phg","+Phg","+Phg","+Phg","-Phg","-Phg","-Phg","-Phg",NA
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
